id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
1466,Leadership in Sport,24,University of South Wales,15100,2.2,6,1,1
1467,Strength and Conditioning,24,University of Central Lancashire (UCLan),1000,2.2,6.5,1,1
1468,Health and Social Care Leadership and Management,12,London Metropolitan University,18150,0,6,1,1
1469,Primary with Qualified Teacher Status,12,University of Derby,14900,2.2,7,0,0
1470,Medical Molecular Biology with Genetics,12,Bangor University,24000,2.2,6,0,1
1471,Linguistics,36,Bangor University,21000,2.2,6,1,1
1472,International Banking and Finance,12,University of Greenwich,18750,2.2,6,1,1
1473,Environment and Sustainability - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,0,1
1474,Online Master Business Administration,30,University of Birmingham,9713,2.1,6.5,1,0
1475,Environmental Law - Part-time (Online),24,The University of Law,11350,2.2,0,1,1
1476,Management (International HRM),12,University of Bristol,31500,2.2,7,0,1
1477,Cyber Security - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,1,1
1478,Political and Legal Philosophy,12,University of York,23900,2.1,7,1,1
1479,Interior Design,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,1
1480,Dementia Studies,12,University of South Wales,16000,2.1,0,0,0
1481,Diplomacy and Sport,12,Loughborough University,24500,2.2,6.5,1,0
1482,Psychology (Distance Learning),24,University of Portsmouth,4700,2.2,6.5,0,1
1483,Product Design,24,University of Dundee,10950,2.1,6,0,1
1484,Advanced Mechanical Engineering,12,University of Liverpool,28000,2.1,0,1,1
1485,Advanced Healthcare Practice,18,Cardiff University,27450,0,0,0,0
1486,Chemistry,12,University of Leicester,23650,2.2,6,1,1
1487,Secondary Education (11-16) with Recommendation for Qualified Teacher Status - Physical Education,9,Leeds Beckett University,9250,2.2,6.5,1,0
1488,Artificial Intelligence and Robotics with Advanced Research,24,University of Hertfordshire,18950,0,6,1,0
1489,Project Management - International (Distance Learning),24,University of Greenwich,5434,2.2,6.5,0,0
1490,Business Administration,24,Unicaf - University of Suffolk,0,2.2,6,0,0
1491,Entrepreneurship and Innovation,12,University of Leicester,21850,2.2,6.5,0,0
1492,International Commercial Law,12,University of Birmingham,24120,0,7,1,0
1493,Cancer Biology,12,Sheffield Hallam University,17205,2.1,0,1,1
1494,Philosophy,12,University of York,23900,2.1,7,0,1
1495,Environmental Assessment and Management,12,University of East Anglia,22750,2.1,6,0,1
1496,Engineering Management,12,Brunel University London,9525,2.2,6,0,0
1497,Mechanical Engineering,36,University of Portsmouth,19200,0,6,1,0
1498,Strategic Communication and Leadership,12,University of Huddersfield,16000,2.2,6,0,1
1499,Human Resource Management,12,Glasgow Caledonian University,17950,2.2,6.5,1,0
1500,International Relations,12,Leeds Beckett University,17500,2.2,6,1,0
1501,Marketing and Brand Management,12,Kingston University,18900,2.2,6.5,1,0
1502,Photography,12,University of Portsmouth,17200,2.1,6.5,0,0
1503,Magazine Journalism,12,Cardiff University,22700,0,0,0,0
1504,Design Strategy and Innovation,12,Brunel University London,23615,2.2,6.5,1,1
1505,Sociology,12,Cardiff University,0,0,0,0,1
1506,"Psychology of the Arts, Neuroaesthetics and Creativity - Pre-Master's Programme",12,ONCAMPUS London,20580,0,5.5,0,1
1507,Queer Studies,12,University of York,23900,2.1,0,0,1
1508,Criminology,12,Loughborough University,24500,2.2,6.5,1,1
1509,Decarbonisation,12,University of Bath,0,2.2,0,1,1
1510,International Finance and Banking,12,The University of Exeter,31000,2.2,0,1,1
1511,Relational Design,12,Bangor University,19600,0,0,1,0
1512,English Literature,12,University of Leicester,19700,2.1,6.5,1,0
1513,Business Management (Learning at Work),0,University of Portsmouth,12000,0,6,1,1
1514,Industrial Pharmaceutics,12,Queen's University Belfast,25800,2.1,6.5,1,0
1515,North Korean Studies,12,University of Central Lancashire (UCLan),16900,2.1,7,1,1
1516,American Studies (Part Time),24,University of East Anglia,21200,2.1,6.5,1,0
1517,Neuroscience,12,University of St Andrews,29950,2.1,7,1,1
1518,Modern History,12,University of East Anglia,21200,2.1,6,0,1
1519,Brain Sciences,12,University of Glasgow,30240,2.1,6.5,0,1
1520,"Security, Conflict and Human Rights",12,University of Bristol,20100,2.1,6.5,1,1
1521,Sport and Exercise Psychology,12,Sheffield Hallam University,17205,0,6,1,1
1522,Sport and Exercise Psychology,12,Brunel University London,23615,2.2,7,1,1
1523,Data Protection and Intellectual Property - Full-time,12,"The University of Law, Postgraduate programmes",17000,2.2,0,0,1
1524,Mechanical Engineering,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,0
1525,Global Operations and Supply Chain Management,12,University of Bristol,32300,2.1,7,0,0
1526,Science with Biology,12,University of Portsmouth,17200,2.2,6.5,0,0
1527,Teaching English to Speakers of Other Languages - TESOL,12,University of Dundee,20900,0,6.5,1,0
1528,Psychology,30,University of Liverpool Online Programmes,6426,2.1,6.5,1,1
1529,Sport and Exercise Biomechanics,12,Leeds Beckett University,17500,2.2,6.5,0,0
1530,Musculoskeletal Sport Science and Health,12,Loughborough University,30500,2.1,6.5,0,0
1531,Interior Design,12,Coventry University,18600,0,6.5,0,0
1532,Intelligence and Security (Distance Learning),12,University of Leicester,8600,2.1,6.5,1,0
1533,Advanced Civil Engineering,12,University of Nottingham,28600,2.1,6,1,1
1534,Health-Professions Education - Health-Professions Education (With Research),36,University of Glasgow,5000,0,0,0,1
1535,Economics with Data Science,12,University of Bristol,32900,2.1,0,1,1
1536,Project Management - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,1,0
1537,Drug Discovery with Industrial Training,21,University of Nottingham,24160,2.1,7.5,1,1
1538,Physics (by research),12,University of York,27900,0,6,0,1
1539,Forensic Archaeology and Anthropology,12,University of Dundee,20600,2.1,6.5,1,1
1540,Environmental Sciences,12,University of Liverpool,26400,2.1,0,0,1
1541,Vaccinology,24,University of Liverpool,27800,2.1,0,0,1
1542,Biomedical Sciences,12,University of York,29400,2.1,6.5,1,0
1543,Documentary Filmmaking,18,Leeds Beckett University,13000,2.2,6,1,0
1544,Accounting and Finance (CIMA Gateway),12,Abertay University,17000,2.2,6,0,1
1545,Food Studies,12,The University of Exeter,24300,2.2,6.5,0,0
1546,Material Culture and Artefact Studies,12,University of Glasgow,24000,2.1,7,1,0
1547,Psycholinguistics,12,University of York,25080,2.1,7,0,0
1548,History,12,Bangor University,17000,2.2,0,1,0
1549,Sports and Exercise Therapy,12,Leeds Beckett University,17500,2.2,6,1,0
1550,Public Administration and Public Policy,12,University of York,23900,2.1,6.5,0,0
1551,Architectural Studies,24,Cardiff University,14100,0,0,1,0
1552,Composition of Music for Film and Television,12,University of Bristol,28400,2.1,6.5,0,1
1553,Modern Foreign Languages - German and French,12,University of Portsmouth,17200,2.2,6.5,0,1
1554,Public Health - Statement of Extra Accredited Learning (SEAL),24,University of Birmingham,15238,0,6.5,1,0
1555,International Relations,24,Unicaf - Liverpool John Moores,0,2.2,6,1,0
1556,Mathematics Education,12,University of Plymouth,17600,2.1,6.5,1,0
1557,Communication Design - Book Design - Pre-Master's Programme,9,University of Reading,21600,0,5.5,1,1
1558,Japanese Cultural Studies - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,1
1559,International Corporate Governance - Full-time (Online),12,The University of Law,11350,2.2,0,0,0
1560,Management,12,University of Liverpool,21850,2.1,0,1,0
1561,International Human Resource Management,16,University of Essex Online,6213,0,6.5,0,1
1562,International Commercial and Economic Law,12,SOAS University of London,25740,2.1,6.5,0,1
1563,Finance,12,University of Kent,20000,2.2,6.5,0,1
1564,Critical Care,24,Learna,4200,0,0,1,0
1565,The Loughborough Executive Master of Business Administration,36,Loughborough University,32000,2.2,6.5,1,1
1566,Public Health - Health Promotion,12,Leeds Beckett University,8250,2.2,6.5,1,1
1567,Geotechnical Engineering,12,University of Birmingham,29340,2.1,6.5,1,1
1568,Urban and Regional Planning (RTPI Accredited),12,University of Birmingham,26280,2.1,6,0,0
1569,Advanced Computer Science,24,The University of Hertfordshire Online,4950,0,0,1,1
1570,Polymer Science and Engineering - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
1571,Digital and Technological Society,12,University of Bristol,28200,0,0,0,1
1572,Photography - The Image and Electronic Arts - Pre-Master's Programme,12,ONCAMPUS London,20580,0,5.5,0,1
1573,Employment Law  - Part-time,24,"The University of Law, Postgraduate programmes",9250,2.2,0,0,1
1574,3D Design,12,Leeds Beckett University,17500,2.2,6.5,1,0
1575,Accounting and Management,12,University of York,32260,2.1,0,0,0
1576,Earth Sciences,12,Cardiff University,24450,2.1,6.5,1,0
1577,Cancer and Genomic Sciences,12,University of Birmingham,27360,2.1,6.5,1,0
1578,International Criminology and Criminal Justice,12,Cardiff University,23200,0,0,1,0
1579,Computer Science,12,University of Bristol,26000,2.1,6.5,1,0
1580,History,12,University of Liverpool,21850,2.1,0,0,1
1581,Human Resource Management,12,The University of Exeter,30000,2.2,7,0,1
1582,Modern and Contemporary Literature and Culture,12,University of St Andrews,25880,2.1,7,0,1
1583,Earth Sciences,12,University of Bristol,26000,2.1,6.5,1,0
1584,Space Exploration Systems,12,University of Leicester,23650,2.1,6,0,0
1585,Secondary Initial Teacher Education Computer Science,12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,1
1586,Wildlife Filmmaking,12,University of the West of England (UWE Bristol),17250,0,6.5,1,0
1587,Clinical Pharmacology,12,University of Glasgow,31860,2.1,6.5,1,1
1588,Civil Engineering and Management,12,University of Glasgow,29370,2.1,6.5,0,0
1589,IT Security,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,1
1590,Finance and Investment,12,University of Bristol,39000,2.1,6.5,1,1
1591,Intercultural Communication for Business and Professions - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
1592,Structural Molecular Biology - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,0,0
1593,Nursing,12,Coventry University,18600,2.2,6.5,0,1
1594,Research Typography and Graphic Design - Pre-Master's Programme,9,University of Reading,21600,0,5.5,1,1
1595,Psychological Research Methods,12,University of Dundee,21900,2.2,6.5,1,0
1596,Law (SQE1) - Full-time,13,"The University of Law, SQE",12876,2.2,0,1,1
1597,Roman Archaeology,12,University of York,23900,2.1,6.5,0,0
1598,Organisational Psychology,8,University of Essex Online,4143,0,6.5,0,0
1599,Entrepreneurship and Business Development,18,Leeds Beckett University,17500,2.2,6.5,1,1
1600,Scriptwriting,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,1
1601,Computer Science,12,Coventry University,18250,2.2,6.5,0,1
1602,Management (International Business),12,University of Reading,24900,2.1,6.5,0,0
1603,Development Economics and Emerging Markets,12,University of York,23900,2.1,6.5,1,0
1604,International Shipping,12,University of Plymouth,18400,0,6.5,0,1
1605,Film,12,Queen's University Belfast,21500,2.2,6.5,0,1
1606,Electronics Engineering (18-month route),18,University of Hertfordshire,16450,0,6,0,0
1607,Clinical Psychology,24,University of Liverpool,27800,2.1,0,0,1
1608,International Disputes Law,12,University of Birmingham,24120,0,0,0,1
1609,Marketing,12,The University of Law Business School,15850,0,6.5,1,0
1610,Visual Journalism,12,University of South Wales,15850,2.2,0,0,1
1611,Advanced Materials Science and Engineering - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
1612,"Environmental Monitoring, Research and Management - Pre-Master Programme",12,Loughborough University,23280,0,0,1,0
1613,Company Law and Corporate Governance,12,University of Bristol,26700,0,0,0,1
1614,Cyber Security and Data Analytics,12,Loughborough University,28750,2.2,6.5,0,0
1615,Entrepreneurship and Business Development,18,Leeds Beckett University,17500,2.2,6.5,1,1
1616,Scriptwriting,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,1
1617,Machine Learning and Autonomous Systems,12,University of Bath,31600,0,6.5,0,1
1618,Philosophy,24,London Metropolitan University,14500,0,6,1,0
1619,Educational Leadership and Management (Distance Learning),24,University of Portsmouth,2970,2.2,0,0,0
1620,Management - Pre-Master's Programme,9,University of Reading,21600,0,5,1,0
1621,Global Diplomacy - South Asia (Online),24,SOAS University of London,6000,2.1,6.5,1,1
1622,Applied Health Economics,24,Learna,4200,0,0,0,1
1623,Stroke Medicine,24,Learna,3900,0,0,0,0
1624,Art Business,12,Kingston University,21900,2.2,6.5,1,1
1625,Global Meetings and Events Management,12,University College Birmingham,14500,2.2,0,1,1
1626,Economic Evaluation for Health Technology Assessment,12,University of York,9470,2.1,6.5,1,0
1627,Accounting and Finance,12,Bangor University,19500,2.2,6,0,1
1628,International Oil and Gas Management (distance learning),60,University of Dundee,11030,2.2,6.5,0,1
1629,"International Law, Ethics and Politics",12,University of Birmingham,24120,2.1,6.5,0,0
1630,Tourism Marketing Management,12,Bournemouth University,17000,2.2,6,0,0
1631,Laws,12,University of Hertfordshire,15450,1,6,0,0
1632,International Business,12,University of Birmingham,30330,2.1,6.5,0,0
1633,Integrative Counselling,24,Leeds Beckett University,17500,2.2,6,1,0
1634,Clinical Embryology and In Vitro Fertilisation (distance learning),24,University of Dundee,4725,2.1,0,0,1
1635,Community Education (CLD Standards Council approved qualifying route),36,University of Dundee,7170,0,6.5,1,0
1636,Advanced Imaging and Sensing,12,University of Glasgow,30240,2.1,6.5,0,1
1637,Law,24,University of Portsmouth,17900,0,7,1,0
1638,"Education, Ethics and Leadership",12,Leeds Beckett University,7000,2.2,6,0,0
1639,Data Driven Design,12,Loughborough University,28750,2.2,6.5,0,0
1640,Clinical Neuropsychology Practice,12,University of Bristol,5400,0,0,0,1
1641,Strategic Leadership,24,University of Portsmouth,10800,2.2,0,0,1
1642,Interdisciplinary Psychology,12,Leeds Beckett University,17500,2.2,6,1,1
1643,Arts - English,12,University of Liverpool,21850,2.1,0,1,0
1644,Human Resource Management - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,1,0
1645,Financial Economics - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
1646,Master of Business Administration,14,University of Wolverhampton,6634,0,6,0,1
1647,Managing Art and Cultural Heritage in Global Markets,24,University of Glasgow,18060,2.1,7,1,0
1648,Management - Pre-Master Programme,12,Loughborough University,23280,0,0,0,0
1649,Human Resource Management,24,Leeds Beckett University,3500,2.2,6,1,0
1650,International Business and Entrepreneurship,12,University of Dundee,20900,2.2,6,1,0
1651,Earth Sciences,12,University of Birmingham,27360,2.1,6,1,0
1652,Playwriting and Dramaturgy,12,University of Glasgow,24000,2.1,7,0,0
1653,Business Administration,12,University of South Wales,14950,2.2,6,0,1
1654,International Business,12,Brunel University London,27000,2.2,6.5,1,1
1655,Critical Care,12,University of Liverpool,27800,2.1,0,1,1
1656,Aeronautical Engineering,12,University of South Wales,15100,2.2,6,1,0
1657,Psychology of Language,24,University of Dundee,10950,2.2,6.5,0,0
1658,Social Science Research (Business and Management Studies) - Pre-Master Programme,12,Loughborough University,23280,0,0,0,0
1659,Integrative Counselling (Top-Up),12,Leeds Beckett University,3500,0,6,1,0
1660,Welsh and Celtic Studies,12,Cardiff University,22700,0,0,1,0
1661,Entrepreneurship Management and Innovation,24,University of Bath,4998,2.1,0,0,0
1662,Long Term Conditions,12,University of Huddersfield,660,2.2,0,0,0
1663,Biological Sciences,24,University of Bristol,26000,2.1,6.5,0,1
1664,Events and Experience Management - Pre-Master's Programme,12,ONCAMPUS London,20580,0,5.5,0,0
1665,Public Health - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,0,1,0
1666,Economics,12,The University of Exeter,25600,2.1,6.5,0,1
1667,Executive MBA - Global,24,University of Reading,24750,0,7,1,0
1668,"Governance, Risk Management and Compliance",12,University of Hertfordshire,15450,2.2,6,1,0
1669,Biomedical Science,12,London Metropolitan University,18150,2.2,6.5,1,1
1670,Radiobiology and Radiotherapy,24,University of Liverpool,27800,2.1,0,1,1
1671,Ethical Hacking and Cyber Security,24,Abertay University,18000,2.2,6,0,1
1672,Medical Imaging,24,The University of Exeter,24000,2.1,7,0,1
1673,Legal Practice (SQE1 and 2) - Part-time weekend,24,"The University of Law, SQE",6400,2.2,0,0,1
1674,Public Relations,12,University of Westminster,17000,2.1,7,1,0
1675,African Studies,12,SOAS University of London,25320,2.2,6.5,0,0
1676,Film and Television Production with Producing,12,University of York,29400,2.1,6.5,0,1
1677,Global Public Health,12,University of Greenwich,17450,2.2,6.5,1,1
1678,Healthcare Management with Industrial Placement,12,University of Kent,22700,2.2,0,0,0
1679,Human Rights,24,University of London,4685,2.1,7,1,1
1680,Disaster Risk and Resilience,12,Coventry University,6200,2.2,6,0,0
1681,"Architecture, Landscape and Urbanism",12,University of Greenwich,17450,2.2,6.5,0,1
1682,Endocrinology (Online),24,University of South Wales,9760,0,0,1,0
1683,TESOL,12,University of Leicester,21400,2.2,6.5,1,1
1684,Laws,12,The University of Exeter,24300,2.2,6.5,1,1
1685,Animation,12,University of South Wales,14950,0,6,1,0
1686,Business Administration (Facilities Management) (Executive),36,Sheffield Hallam University,0,2.2,6.5,1,1
1687,Medieval History,12,University of St Andrews,25880,2.1,7,0,0
1688,Digital Arts,12,University of Greenwich,17450,2.2,6.5,0,1
1689,Health Informatics,36,University of Central Lancashire (UCLan),1000,0,6.5,0,0
1690,Water Management for Development,36,Loughborough University,24500,2.2,6.5,0,0
1691,Management and International Business,12,Leeds Beckett University,17500,2.2,6,1,0
1692,Records Management and Digital Preservation,60,University of Dundee,1080,0,6.5,0,0
1693,Inclusion (Special Educational Needs),36,University of Birmingham,7770,0,0,0,0
1694,Obesity and Endocrinology,24,University of Liverpool,27800,2.1,0,0,0
1695,Civil Engineering,12,University of Bath,31600,1,6.5,0,0
1696,Cyber Security and Management,12,The University of Law Business School,15850,2.2,6.5,1,1
1697,Second Language Education,12,University of East Anglia,19800,2.1,0,0,0
1698,Global Health Care Management,12,Coventry University,18600,2.2,6.5,1,1
1699,"Law - Health, Law and Society",12,University of Bristol,26700,2.1,0,0,0
1700,Sports Journalism,12,Sheffield Hallam University,17205,2.2,6.5,1,1
1701,Management with Business Innovation - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
1702,International Business Law - Full-time (Online),12,The University of Law,11350,2.2,0,1,0
1703,Pharmacology,24,University of Liverpool,27800,2.1,0,1,1
1704,Records Management and Digital Preservation,60,University of Dundee,1080,0,6.5,0,0
1705,Management and International Business,12,Leeds Beckett University,17500,2.2,6,0,1
1706,Wireless and Microwave Communication Engineering with a Year in Industry,24,Cardiff University,28200,0,0,1,0
1707,Autonomous Systems,12,University of Plymouth,18000,2.2,6.5,1,1
1708,Mechanical Engineering with Professional Practice,24,University of Wolverhampton,16450,2.2,6.5,0,0
1709,Social Research Methods with Applied Statistics - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,1,1
1710,Finance (Economics and Finance),12,Durham University,32750,2.1,6.5,0,0
1711,Advanced Project Management in Construction,12,University of Huddersfield,16000,2.2,6,1,0
1712,Health and Community Care,12,Leeds Beckett University,17500,2.2,6,1,0
1713,Comparative and European Private International Law,12,University of Dundee,20900,2.2,6.5,1,0
1714,Health and Safety,12,Leeds Beckett University,17500,2.2,6,0,1
1715,Business Analytics,12,Loughborough University,28500,2.2,6.5,1,0
1716,Information Management,12,Bangor University,18300,2.2,0,0,1
1717,"Money, Banking and Finance",12,The University of Exeter,31000,2.2,6.5,0,1
1718,Engineering Management,12,University College Birmingham,14500,0,0,0,0
1719,Theology and Religion,12,The University of Exeter,24300,2.2,6.5,1,1
1720,Financial Mathematics,12,University of Liverpool,28000,2.1,0,0,0
1721,International Commercial Law,12,Bournemouth University,16750,2.2,6.5,0,1
1722,Communication and Media,24,University of Liverpool,27800,2.1,0,0,1
1723,International Energy Commerce,12,University of Dundee,20900,2.2,6.5,0,0
1724,Pre-registration Nursing (Child Health),24,University of Plymouth,19000,2.2,7,0,1
1725,Strength and Conditioning,12,University of Greenwich,17450,2.2,6.5,0,0
1726,Interactive Media Practice,12,University of Westminster,17000,2.1,6.5,1,1
1727,International Commercial Law,12,University of Westminster,17000,2.2,6.5,1,0
1728,Middle East Politics and Arabic,24,The University of Exeter,24300,2.2,6.5,0,0
1729,Art Writing,12,The Glasgow School of Art,25000,0,0,0,1
1730,Product Design Engineering,12,The Glasgow School of Art,25000,0,0,1,0
1731,Legal Technology - Part-time,8,"The University of Law, Postgraduate programmes",5700,2.2,0,1,1
1732,Design and Management of Sustainable Built Environments,12,University of Reading,26950,2.2,6.5,1,1
1733,Social Science Research Methods (International Relations),12,Cardiff University,23200,0,0,0,0
1734,Comparative Literature,12,SOAS University of London,25320,2.2,6.5,1,1
1735,Digital Media,12,University of Leeds,0,2.1,0,0,0
1736,Music,12,Kingston University,19900,2.2,6.5,1,0
1737,International Hospitality Management,36,University of Derby,4966,2.2,6,1,0
1738,Creative Writing,12,University of Glasgow,22140,2.1,7,0,0
1739,Marine Biology,12,Bangor University,21000,2.2,6.5,0,1
1740,Religious and Theological Studies,12,Cardiff University,24450,2.1,6.5,1,1
1741,Medical Microbiology with Advanced Research,24,University of Hertfordshire,18950,0,7,0,0
1742,Financial Mathematics,12,Brunel University London,25000,2.2,6,1,0
1743,History,12,University of Nottingham,22600,2.1,6.5,1,0
1744,Education (Mathematics Education),12,University of Bristol,27200,2.1,6.5,1,1
1745,Information and Technology,12,Leeds Beckett University,17500,2.2,6,0,0
1746,Sports Events Management,12,Leeds Beckett University,11665,2.2,6,1,0
1747,Public Health with Extended Placement,24,University of Hertfordshire,18950,2.2,7,0,1
1748,Electronic and Electrical Engineering,12,University of Portsmouth,19200,2.2,6,0,0
1749,Education and Development,12,University of East Anglia,21200,2.1,6,1,1
1750,Real Estate,12,Kingston University,18900,2.1,6.5,1,1
1751,Human Centred Artificial Intelligence for Games Development,12,Bournemouth University,17500,2.2,0,0,0
1752,Fine Art,12,University for the Creative Arts,18000,0,0,0,0
1753,Primary Education (3-7) with Recommendation for Qualified Teacher Status,9,Leeds Beckett University,9250,2.2,6.5,1,0
1754,Computer Science and Informatics,12,Cardiff University,24450,2.1,6.5,0,0
1755,English Literature,12,University of Nottingham,22600,2.1,6.5,1,0
1756,Translation with Business Interpreting (Chinese),12,University of Bath,26500,2.1,7.5,1,1
1757,Offshore Renewable Energy Engineering,12,University of Plymouth,19800,2.2,6.5,0,0
1758,Mental Health (Youth-Interdisciplinary),12,University of Birmingham,26280,2.1,6.5,1,1
1759,Secondary Education (English) with Recommendation for QTS,12,Brunel University London,19430,2.2,7,1,1
1760,Cyberphysical Systems (2 year),24,University of Nottingham,19067,2.1,6.5,0,1
1761,Applied Cyber Security with Professional Internship,24,Queen's University Belfast,25800,2.1,6,0,1
1762,Compliance and Regulation - Full-time,12,"The University of Law, Postgraduate programmes",17000,2.2,0,1,1
1763,Management,12,University of St Andrews,29950,2.1,7,0,0
1764,PGCE Secondary,11,University of Nottingham,21500,0,6.5,0,0
1765,Deaf Education (Teacher of the Deaf Qualification),24,School of Education,0,0,6.5,0,0
1766,Food Science,12,University of Leeds,32000,2.1,0,0,1
1767,International Banking and Finance,12,Glasgow Caledonian University,17950,2.2,6,1,0
1768,International Construction Project Management,12,Glasgow Caledonian University,18800,2.2,0,1,1
1769,Business Analytics,12,Queen's University Belfast,25800,2.1,6.5,1,0
1770,International Financial Markets - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,0,0
1771,Sustainable Development (Online),24,SOAS University of London,5135,2.2,6.5,0,0
1772,Film Studies,12,Bangor University,16500,2.1,0,1,0
1773,Arts and Humanities,12,Queen's University Belfast,21500,2.2,6.5,1,1
1774,Sport and Exercise Science,12,Hartpury University,18750,2.2,0,0,1
1775,Architecture (Professional Practice),12,Cardiff University,6450,0,0,1,1
1776,Career Guidance and Development,12,Edinburgh Napier University,15360,2.2,6,1,0
1777,Molecular Neuroscience,12,University of Bristol,31300,2.1,6.5,0,0
1778,Theology,12,The University of Exeter,24300,2.2,6.5,1,1
1779,Artificial Intelligence,12,University of South Wales,15100,2.2,0,1,1
1780,Human Resource Management,12,University of Derby,14900,2.2,0,1,1
1781,Advanced Clinical Practice,36,University of Huddersfield,825,0,6,1,1
1782,International Tourism Management,18,University College Birmingham,14500,2.2,6,0,1
1783,"International Development (Conflict, Security and Development) by Distance Learning",24,University of Birmingham,7515,2.2,6.5,1,0
1784,"Environment, Development and Politics",12,University of Birmingham,25290,2.2,6.5,0,0
1785,Ancient Cultures,12,University of Glasgow,24000,2.1,7,0,0
1786,Civil Infrastructure Engineering - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,0,0,0
1787,Forensic Accounting,12,University of Portsmouth,19200,0,6.5,0,1
1788,Urban and Rural Planning,36,Leeds Beckett University,0,2.2,6,1,1
1789,Strategic Sport Marketing,12,Leeds Beckett University,11665,2.2,6.5,0,1
1790,Renewable Energy Engineering,48,University of Portsmouth,19200,0,6,1,1
1791,International Human Resource Management - Pre-Master's Programme,9,University of Reading,21600,0,5,1,1
1792,Classics and Ancient History,12,University of Reading,22350,2.1,6.5,0,0
1793,Black Humanities,12,University of Bristol,27600,2.1,6.5,1,1
1794,Railway Safety and Control Systems,14,University of Birmingham,26430,2.1,6.5,1,0
1795,Healthcare Practice,36,University of Central Lancashire (UCLan),975,2.2,6.5,0,0
1796,Pharmacy Practice,36,University of Hertfordshire,865,0,6.5,0,0
1797,Social Science Research Methods (Science and Technology Studies),12,Cardiff University,23200,0,0,0,0
1798,Accounting and Financial Management,18,University of London,9640,2.1,6.5,0,0
1799,Design Administration (Distance),24,Cardiff University,28200,2.2,6.5,1,0
1800,Molecular Biology,12,Coventry University,16950,2.2,6.5,1,1
1801,Primary Early Years Initial Teacher Education (3-7),12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,0
1802,National Education (Wales) (English-medium),24,Bangor University,18000,0,6.5,1,1
1803,Advanced Professional Practice - Distance Learning (Part Time),36,University of East Anglia,21200,2.2,6.5,0,0
1804,Egyptology,12,University of Liverpool,21850,2.1,0,1,0
1805,Molecular Biology,12,Coventry University,16950,2.2,6.5,0,0
1806,Film Production,12,University of Hertfordshire,16450,2.2,6.5,0,1
1807,Psychology Conversion,12,University of Central Lancashire (UCLan),16900,2.1,6.5,1,0
1808,Social Research,12,The University of Exeter,23800,2.2,6.5,1,1
1809,Energy and Electronic Engineering,24,University of Portsmouth,19200,0,6.5,0,1
1810,Medical Physics,12,University of Glasgow,35640,2.1,6.5,1,0
1811,Research Methods (Health),12,University of Nottingham,0,2.1,6.5,1,0
1812,Technology and Education Futures,12,The University of Exeter,24300,2.2,0,1,0
1813,Sports and Exercise Medicine (Online),24,University of South Wales,10200,0,0,0,0
1814,International Management - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,0
1815,Interdisciplinary Japanese Studies,12,University of East Anglia,21200,2.1,6,0,1
1816,Global Shipping Management,12,University of Greenwich,16300,0,6.5,1,1
1817,Electrical and Electronic Engineering,12,Sheffield Hallam University,17205,0,6,1,1
1818,Clinical Pharmacy,12,The University of Exeter,27500,2.2,6.5,1,0
1819,Comparative Literature,24,University of Glasgow,25290,2.1,7,1,1
1820,"Research Film, Theatre and Television",12,University of Reading,22350,2.1,6.5,1,1
1821,Music Performance,12,University of Huddersfield,16000,0,6.5,1,0
1822,Interpreting and Translating (Russian and Italian),12,University of Bath,28300,2.1,7.5,0,1
1823,Clinical Ophthalmology and Vision Science,12,University of Liverpool,42700,0,0,1,0
1824,Media and Cultural Policy,12,University of Glasgow,25290,2.1,7,0,0
1825,Fashion Management - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
1826,Disaster Medicine,12,University of Central Lancashire (UCLan),16900,0,6.5,0,1
1827,Curatorial Practice (Contemporary Art),12,University of Glasgow,22680,2.1,7,0,1
1828,Social and Public Policy (Online),24,University of York,10200,2.2,6.5,1,0
1829,Research in Human Geography,12,University of Birmingham,21360,2.1,6,1,0
